id,title,transcription,storage_path,album_id,created_at,updated_at,position_index
1,Track 1,"[{""text"":""这是第一句话"",""type"":""content"",""endTime"":9999}]",track_1.mp3,1,2023-11-27 06:44:05.250099+00,2023-11-27 06:44:05.250099+00,1
2,Track 2,"[{""text"":""这是第一句话"",""type"":""content"",""endTime"":9999}]",track_2.mp3,1,2023-11-27 06:44:05.250099+00,2023-11-27 06:44:05.250099+00,2
3,Track 3,"[{""text"":""这是第一句话"",""type"":""content"",""endTime"":9999}]",track_1.mp3,1,2023-11-27 06:44:05.250099+00,2023-11-27 06:44:05.250099+00,3
4,Track 1: transcription validation error,"[{""text"":""这是第一句话"",""endTime"":9999,""type999"":""content""}]",track_1.mp3,2,2023-11-27 06:44:05.250099+00,2023-11-27 06:44:05.250099+00,1
5,Track 2: audio not found,"[{""text"":""这是第一句话"",""type"":""content"",""endTime"":9999}]",not-found.mp3,2,2023-11-27 06:44:05.250099+00,2023-11-27 06:44:05.250099+00,2
7,N3 Test Question,"[{""type"":""filler"",""endTime"":2.51},{""text"":""弁当屋で男のアルバイトの人と店長が話しています。"",""type"":""content"",""endTime"":8.36},{""text"":""男のアルバイトの人はこの後まず何ををしますか。"",""type"":""content"",""endTime"":15},{""text"":""お疲れ様です。"",""type"":""content"",""endTime"":17.25,""speaker"":""男""},{""text"":""あっ、吉田君、今日11時にお弁当配達する注文が入ったよ。 "",""type"":""content"",""endTime"":23.5,""speaker"":""女""},{""text"":""お弁当はもうできてるから20個段ボール箱に詰めてもらえる。"",""type"":""content"",""endTime"":28.5,""speaker"":""女""},{""text"":""分かりました。"",""type"":""content"",""endTime"":29.7,""speaker"":""男""},{""text"":""配達は車を使って。"",""type"":""content"",""endTime"":32.06,""speaker"":""女""},{""text"":""今、車、店のうらの駐車にあるから、店の前に動かしとくね。 "",""type"":""content"",""endTime"":37.98,""speaker"":""女""},{""text"":""はい"",""type"":""content"",""endTime"":38.77,""speaker"":""男""},{""text"":""お茶20本も忘れないで。"",""type"":""content"",""endTime"":41.56,""speaker"":""女""},{""text"":""お茶は冷蔵庫に入れてあるから直前に車に乗せてね。"",""type"":""content"",""endTime"":46.58,""speaker"":""女""},{""text"":""分りました"",""type"":""content"",""endTime"":48.06,""speaker"":""男""},{""type"":""filler"",""endTime"":52.91},{""text"":""男のアルバイトの人はこの後まず何をしますか。"",""type"":""content"",""endTime"":99999}]",2020_12_n3_1_1.mp3,3,2023-11-16 01:44:17.962181+00,2023-11-16 01:44:17.962181+00,1
8,23-3,"[{""text"":""３番　どうやって使いますか。"",""type"":""content"",""endTime"":4.432136},{""type"":""filler"",""endTime"":10.3627},{""text"":""おまんですね。どうやって乗りますか。"",""type"":""content"",""endTime"":14.302311,""speaker"":""A""},{""text"":""ここに座って、左の耳を持つと、 動きます。"",""type"":""content"",""endTime"":19.348741,""speaker"":""B""},{""text"":""全然動きません。"",""type"":""content"",""endTime"":23.245038,""speaker"":""A""},{""text"":""それは右の耳ですよ。 左の耳を持ってください。"",""type"":""content"",""endTime"":27.976045,""speaker"":""B""},{""type"":""filler"",""endTime"":32.200862},{""text"":""うは。面白い！"",""type"":""content"",""endTime"":34.730931,""speaker"":""A""},{""type"":""filler"",""endTime"":37.90911},{""text"":""すみません。トイレの電気のスイッチはどこですか。"",""type"":""content"",""endTime"":42.621929,""speaker"":""A""},{""text"":""スイッチ？ありません。 中に入ると、明るくなります。"",""type"":""content"",""endTime"":47.851206,""speaker"":""B""},{""text"":""あ、そうですか。"",""type"":""content"",""endTime"":50.521141,""speaker"":""A""},{""type"":""filler"",""endTime"":52.639737},{""text"":""あのう、コーヒーを買いたいとき、どうしますか？"",""type"":""content"",""endTime"":56.63286,""speaker"":""A""},{""text"":""まずここにお金を入れます。 砂糖を入れますか。"",""type"":""content"",""endTime"":61.366727,""speaker"":""B""},{""text"":""ええ、 甘いのがいいです。 ミルクも入れたいです。"",""type"":""content"",""endTime"":65.641066,""speaker"":""A""},{""text"":""じゃあ、この砂糖とミルクのボタンを押して、 それから、 コーヒーのボタンを押すと、 ほら。"",""type"":""content"",""endTime"":73.60755,""speaker"":""B""},{""type"":""filler"",""endTime"":82.2831},{""text"":""あ、出ました。ありがとうございました。"",""type"":""content"",""endTime"":86.117043,""speaker"":""A""},{""type"":""filler"",""endTime"":89.315287},{""text"":""これ、何ですか。"",""type"":""content"",""endTime"":91.682335,""speaker"":""A""},{""text"":""ソージ君です。"",""type"":""content"",""endTime"":93.792787,""speaker"":""B""},{""text"":""ソージ君？"",""type"":""content"",""endTime"":95.447075,""speaker"":""A""},{""text"":""掃除する機械です。"",""type"":""content"",""endTime"":97.985442,""speaker"":""B""},{""text"":""使い方は簡単ですか。"",""type"":""content"",""endTime"":100.91504,""speaker"":""A""},{""text"":""はい、とても簡単ですよ。頭にちょっと触ると、掃除を始めます。"",""type"":""content"",""endTime"":107.044343,""speaker"":""B""},{""text"":""時間は？"",""type"":""content"",""endTime"":108.278505,""speaker"":""A""},{""text"":""1回触ると、30分働きます。"",""type"":""content"",""endTime"":111.957829,""speaker"":""B""},{""type"":""filler"",""endTime"":117.40916},{""text"":""うわ、便利。欲しいな。"",""type"":""content"",""endTime"":9999,""speaker"":""A""}]",8736148-23-3.m4a,4,2023-11-16 06:26:00.392519+00,2023-11-16 06:26:00.392519+00,233
9,23-2,"[{""text"":""マザーテレサはいっ渦をしました どん か"",""type"":""content"",""endTime"":6.868293},{""text"":""マザーテレサは 1910年にヨーロッパの古い町、スコピエで生まれました。"",""type"":""content"",""endTime"":16.018777},{""text"":""子供の時、両親と一緒によく教会へ行きました。"",""type"":""content"",""endTime"":21.545452},{""type"":""filler"",""endTime"":27.064517},{""text"":""テレサは 15歳ぐらいのとき、教会の人からインドについていろいろ聞きました。"",""type"":""content"",""endTime"":35.618501},{""text"":""そして、インドヘ行きたいと思いました。"",""type"":""content"",""endTime"":38.901478},{""text"":""インドヘ行って、病気の人やお金がない人の役に立ちたいと思いました。"",""type"":""content"",""endTime"":46.202201},{""text"":""そして1928年、18歳の時、インドへ行きました。"",""type"":""content"",""endTime"":53.437479},{""text"":""1931年から、1948年までインドの学校で教えました。"",""type"":""content"",""endTime"":62.510964},{""text"":""1948年に教師を辞めて、それから、病気の人や両親がいない子供のうちを作りました。"",""type"":""content"",""endTime"":73.315231},{""text"":""1979年12月、69歳の時、テレサはノーベル賞をもらいました。"",""type"":""content"",""endTime"":83.671788},{""text"":""マザーテレサは3回日本へ来たことがあります。"",""type"":""content"",""endTime"":89.18525},{""text"":""71歳と72歳と74歳の時です。"",""type"":""content"",""endTime"":94.833918},{""text"":""2回目に日本へ来た時、長崎へ行って、を祈りをしました。"",""type"":""content"",""endTime"":101.356521},{""text"":""1997年に亡くなりました。87でした。"",""type"":""content"",""endTime"":109.147485},{""type"":""filler"",""endTime"":9999}]",8736147-23-2.m4a,4,2023-11-14 08:49:24.662734+00,2023-11-14 08:49:24.662734+00,232
10,24-1,"[{""type"":""filler"",""endTime"":3.850994},{""text"":""エドさんは誕生日のプレゼントについて日記を書きました。 何をもらいましたか。"",""type"":""content"",""endTime"":11.872516},{""type"":""filler"",""endTime"":14.359973},{""text"":""こんばんは。 もうみんな来た？"",""type"":""content"",""endTime"":17.64513,""speaker"":""女""},{""text"":""ううん、まだだよ。あい子さん、さあ、どうぞ。"",""type"":""content"",""endTime"":21.929515,""speaker"":""男""},{""text"":""エドさん、 誕生日おめでとう。花をどうぞ。"",""type"":""content"",""endTime"":26.795439,""speaker"":""女""},{""text"":""きれいだね！あい子さん、ありがとう。"",""type"":""content"",""endTime"":30.845792,""speaker"":""男""},{""type"":""filler"",""endTime"":34.219304},{""text"":""キムさん、いらっしゃい。"",""type"":""content"",""endTime"":36.289801,""speaker"":""男""},{""text"":""エドさん、 誕生日おめでとう。これ、どうぞ。"",""type"":""content"",""endTime"":40.106159,""speaker"":""女""},{""text"":""開けてもいい？あ、ステキなセーターだね。"",""type"":""content"",""endTime"":45.177065,""speaker"":""男""},{""text"":""ええ、私が作ったの。"",""type"":""content"",""endTime"":47.886707,""speaker"":""女""},{""text"":""わあ、いいでサインだね。どうもありがとう。"",""type"":""content"",""endTime"":52.915448,""speaker"":""男""},{""type"":""filler"",""endTime"":55.385896},{""text"":""こんばんは、ミゲル君。わあ、大きい帽子だなあ。"",""type"":""content"",""endTime"":60.846371,""speaker"":""A""},{""text"":""この帽子、 僕のプレゼントだよ。 僕の国では男の人はこれをかぶるよ。"",""type"":""content"",""endTime"":67.875866,""speaker"":""B""},{""text"":""じゃ、ミキしこの帽子？おもしろいね。"",""type"":""content"",""endTime"":72.154234,""speaker"":""A""},{""text"":""うん、お祭りの時、かぶる帽子だよ。"",""type"":""content"",""endTime"":75.779773,""speaker"":""B""},{""text"":""そう。ミゲル君、ありがとう。"",""type"":""content"",""endTime"":79.473534,""speaker"":""A""},{""type"":""filler"",""endTime"":82.004615},{""text"":""わあ、ケリー先生だ。さあ、どうぞ。"",""type"":""content"",""endTime"":85.699556,""speaker"":""男""},{""text"":""ありがとう。 エドさん、 誕生日おめでとう。オーストラリアのワインを持ってきました。どうぞ。"",""type"":""content"",""endTime"":94.156164,""speaker"":""女""},{""text"":""ありがとうございます。 どこで買いましたか。"",""type"":""content"",""endTime"":97.627434,""speaker"":""男""},{""text"":""シドニーの空港で買いました。この間、国へ帰りましたから。このワイン、きっと美味しいと思いますよ。"",""type"":""content"",""endTime"":106.206057,""speaker"":""女""},{""text"":""そうですか。じゃ、みんなで飲みましょう。"",""type"":""content"",""endTime"":110.407438,""speaker"":""男""},{""type"":""filler"",""endTime"":9999}]",8736150-24-1.m4a,4,2023-11-22 12:55:26.948031+00,2023-11-22 12:55:26.948031+00,241
11,24-4,"[{""type"":""filler"",""endTime"":1.611528},{""text"":""誰が誰にしてあげましたか。してもらいましたか。"",""type"":""content"",""endTime"":6.788198},{""type"":""filler"",""endTime"":8.391251},{""text"":""山田さん、今月のレポートです。"",""type"":""content"",""endTime"":12.151261,""speaker"":""女""},{""text"":""うーん。チンさん、今月のレポートはいいですね。"",""type"":""content"",""endTime"":18.014508,""speaker"":""男""},{""text"":""えへへ、佐藤さんに直してもらいましたから。"",""type"":""content"",""endTime"":22.129263,""speaker"":""女""},{""type"":""filler"",""endTime"":25.136082},{""text"":""チンさん、昨日の晩はすごい雨でしたね。 大丈夫でしたか。"",""type"":""content"",""endTime"":30.201038,""speaker"":""A""},{""text"":""ええ、 山田さんが傘を貸してくれましたから。"",""type"":""content"",""endTime"":34.123224,""speaker"":""B""},{""text"":""山田さんが？そうですか。"",""type"":""content"",""endTime"":38.085902,""speaker"":""A""},{""type"":""filler"",""endTime"":40.994613},{""text"":""わあ、ちんさん、 すごい荷物ですね。 1人で持って来ましたか。"",""type"":""content"",""endTime"":47.767366,""speaker"":""男""},{""text"":""いいえ、 知らない男の人が持ってくれました。"",""type"":""content"",""endTime"":51.528786,""speaker"":""女""},{""text"":""へえ。どんな人？"",""type"":""content"",""endTime"":53.680328,""speaker"":""男""},{""text"":""若い人。とてもハンサムでした。"",""type"":""content"",""endTime"":57.075133,""speaker"":""女""},{""text"":""へえ、そうですか。"",""type"":""content"",""endTime"":60.053814,""speaker"":""男""},{""type"":""filler"",""endTime"":63.073211},{""text"":""ちんさん、 新しいパソコンの使い方が分かりますか。"",""type"":""content"",""endTime"":67.883866,""speaker"":""A""},{""text"":""まだよくわかりません。"",""type"":""content"",""endTime"":70.064276,""speaker"":""B""},{""text"":""じゃ、教えてあげましょうか。"",""type"":""content"",""endTime"":72.166687,""speaker"":""A""},{""text"":""佐藤さん、 ありがとうございます。 でも、今ちょっと忙しいですから、 午後教えてくれますか。"",""type"":""content"",""endTime"":80.871171,""speaker"":""B""},{""text"":""いいですよ。じゃ、１時ごろから。"",""type"":""content"",""endTime"":83.98332,""speaker"":""A""},{""text"":""お願いします。"",""type"":""content"",""endTime"":9999,""speaker"":""B""}]",8736153-24-4.m4a,4,2023-11-23 08:36:24.074767+00,2023-11-23 08:36:24.074767+00,244
12,24-3,"[{""type"":""filler"",""endTime"":2.323128},{""text"":""ボランティアはお年寄りに何をしてあげましたか。 レポートを書いてください。"",""type"":""content"",""endTime"":9.539984},{""type"":""filler"",""endTime"":11.544864},{""text"":""おはようございます。 中野さん、お元気ですか。"",""type"":""content"",""endTime"":16.139182,""speaker"":""A""},{""text"":""ええ、元気ですよ。 今日は服を買いに行きたいですが、いいですか。"",""type"":""content"",""endTime"":22.408133,""speaker"":""B""},{""text"":""ええ、 一緒に行きましょう。 いつものスーパーですね。"",""type"":""content"",""endTime"":27.274129,""speaker"":""A""},{""text"":""あのう、駅の前の新しいスーパーへ連れて行ってくれますか。 買い物は楽しいですから。"",""type"":""content"",""endTime"":36.538363,""speaker"":""B""},{""text"":""はい、一緒に行きましょう。"",""type"":""content"",""endTime"":39.474489,""speaker"":""A""},{""type"":""filler"",""endTime"":42.647058},{""text"":""こんにちは。 吉田さん、今日は足の調子はいかがですか。"",""type"":""content"",""endTime"":48.294845,""speaker"":""A""},{""text"":""ちょっと痛いですから、今日は寝ています。 すみませんが、部屋の掃除をしてくれますか。"",""type"":""content"",""endTime"":55.793438,""speaker"":""B""},{""text"":""はい、分りました。 それから、晩ご飯を作りましょうか。"",""type"":""content"",""endTime"":61.108817,""speaker"":""A""},{""text"":""ええ、 お願いします。"",""type"":""content"",""endTime"":63.547159,""speaker"":""B""},{""type"":""filler"",""endTime"":66.346202},{""text"":""田村さん、こんにちは。あ、きれいな花ですね。"",""type"":""content"",""endTime"":72.726744,""speaker"":""A""},{""text"":""ええ、きれいでしょう。 隣の人がくれました。"",""type"":""content"",""endTime"":77.125053,""speaker"":""B""},{""text"":""体の調子はどうですか。"",""type"":""content"",""endTime"":79.638229,""speaker"":""A""},{""text"":""手がとても痛いです。 物を持つことができません。 あのう、 病院で薬を取りに行ってください。"",""type"":""content"",""endTime"":88.634447,""speaker"":""B""},{""text"":""はい、すぐ行きます。"",""type"":""content"",""endTime"":9999,""speaker"":""A""}]",8736152-24-3.m4a,4,2023-11-23 08:02:31.164599+00,2023-11-23 08:02:31.164599+00,243
13,24-2,"[{""type"":""filler"",""endTime"":1.686723},{""text"":""今日、日本語のクラスが終わります。 外国人は日本語のボランティアに何をしてもらいましたか。"",""type"":""content"",""endTime"":10.695349},{""type"":""filler"",""endTime"":12.97772},{""text"":""皆さんは日本語がとても上手になりましたね。でも、今日さよならを言わなければなりません。 寂しいですが、暇な時、遊びに来てくださいね。"",""type"":""content"",""endTime"":27.285335,""speaker"":""A""},{""text"":""田中さんは私たちに日本語をたくさん教えてくれました。ありがとう。"",""type"":""content"",""endTime"":33.548096,""speaker"":""B""},{""text"":""いいえ。 とても楽しかったです。"",""type"":""content"",""endTime"":36.751615,""speaker"":""A""},{""type"":""filler"",""endTime"":41.701836},{""text"":""私の先生は川崎さんでした。 私が病気になった時、病院へ連れて行ってくれましたね。 ありがとうございました。"",""type"":""content"",""endTime"":45.191518,""speaker"":""C""},{""text"":""もう体は大丈夫ですか。"",""type"":""content"",""endTime"":54.498642,""speaker"":""D""},{""text"":""はい、おかげさまで、良くなりました。"",""type"":""content"",""endTime"":57.764481,""speaker"":""C""},{""type"":""filler"",""endTime"":63.001394},{""text"":""佐野さん、 車が故障した時、 修理を手伝ってくれましたね。 ありがとうございました。"",""type"":""content"",""endTime"":70.871484,""speaker"":""B""},{""text"":""いいえ。"",""type"":""content"",""endTime"":73.609586,""speaker"":""E""},{""text"":""佐野さんは私の日本のおじいさんです。"",""type"":""content"",""endTime"":78.839686,""speaker"":""B""},{""type"":""filler"",""endTime"":83.72861},{""text"":""子供の学校の手紙は全部日本語でした。 でも、村上さんにスペイン語で説明してもらいましたから、 よく分かりました。 ありがとうございました。"",""type"":""content"",""endTime"":95.555391,""speaker"":""F""},{""text"":""いいえ、どういたしまして。"",""type"":""content"",""endTime"":98.561693,""speaker"":""G""},{""text"":""皆さん、本当にありがとうございました。"",""type"":""content"",""endTime"":9999,""speaker"":""BCF""}]",8736151-24-2.m4a,4,2023-11-22 13:18:21.704639+00,2023-11-22 13:18:21.704639+00,242
14,25-1,"[{""type"":""filler"",""endTime"":3.922482},{""text"":""ミラーさんは友達と話しました。 あとでミラーさんは電話で何と言いますか。"",""type"":""content"",""endTime"":10.961601},{""type"":""filler"",""endTime"":13.952537},{""text"":""イーサン、 金曜日の晩、家でパーティーをします。 暇だったら、来ませんか。"",""type"":""content"",""endTime"":20.672016,""speaker"":""A""},{""text"":""ありがとうございます。 大丈夫だと思いますけど、後で電話します。"",""type"":""content"",""endTime"":26.850679,""speaker"":""B""},{""type"":""filler"",""endTime"":33.102032},{""text"":""もしもし、ミラーさん。イーです。あのう、 金曜日の晩ですが、 出張しなければなりません。"",""type"":""content"",""endTime"":42.568048,""speaker"":""B""},{""type"":""filler"",""endTime"":46.669424},{""text"":""a．そうですか。じゃ、 6時に来てください。"",""type"":""content"",""endTime"":52.510827},{""text"":""b．そうですか。残念ですね。"",""type"":""content"",""endTime"":57.674862},{""type"":""filler"",""endTime"":60.889608},{""text"":""木村さん、明日のテニスですけど、天気は大丈夫ですか。"",""type"":""content"",""endTime"":67.130049,""speaker"":""A""},{""text"":""うーん、そうですね……。"",""type"":""content"",""endTime"":70.457649,""speaker"":""B""},{""text"":""もし、天気が悪かったら、映画に行きませんか。 チケットがありますから。"",""type"":""content"",""endTime"":76.813221,""speaker"":""A""},{""text"":""いいですね。"",""type"":""content"",""endTime"":78.710299,""speaker"":""B""},{""type"":""filler"",""endTime"":85.409521},{""text"":""もしもし、木村です。 今日は雨ですね。"",""type"":""content"",""endTime"":90.254169,""speaker"":""B""},{""type"":""filler"",""endTime"":94.445692},{""text"":""a．ええ。じゃ、 映画にいきましょう。"",""type"":""content"",""endTime"":99.82004},{""text"":""b．ええ。じゃ、 テニスに行きましょう。"",""type"":""content"",""endTime"":105.242862},{""type"":""filler"",""endTime"":108.058371},{""text"":""佐藤さん、今晩一緒に食事しませんか。"",""type"":""content"",""endTime"":112.02595,""speaker"":""A""},{""text"":""いいですね。でも今日は仕事がたくさんあって……。 7時ごろになると思いますが。"",""type"":""content"",""endTime"":120.629146,""speaker"":""B""},{""text"":""じゃ、7時までに終わったら、行きましょう。"",""type"":""content"",""endTime"":124.368736,""speaker"":""A""},{""text"":""分りました。"",""type"":""content"",""endTime"":125.879984,""speaker"":""B""},{""type"":""filler"",""endTime"":131.862598},{""text"":""もしもし、佐藤です。 もう7時ですけど、 仕事が終わりません。"",""type"":""content"",""endTime"":138.360773,""speaker"":""B""},{""type"":""filler"",""endTime"":142.635854},{""text"":""a．そうですか。じゃ、行きましょう。"",""type"":""content"",""endTime"":147.078629},{""text"":""b．そうですか。じゃ、 今晩はやめましょう。"",""type"":""content"",""endTime"":152.978016},{""type"":""filler"",""endTime"":156.25511},{""text"":""ミラーさん、 お茶を習いに行きませんか。 渡辺さんが教えてくれると言いました。 面白いと思いますが……。"",""type"":""content"",""endTime"":165.221091,""speaker"":""B""},{""text"":""うん、 習いたいですけど……。 何曜日ですか。"",""type"":""content"",""endTime"":169.600736,""speaker"":""A""},{""text"":""えーと、土曜日です。"",""type"":""content"",""endTime"":172.657574,""speaker"":""B""},{""text"":""午後だったら、大丈夫です。"",""type"":""content"",""endTime"":175.079631,""speaker"":""A""},{""text"":""じゃ、渡辺さんに時間を聞いて、電話しますね。"",""type"":""content"",""endTime"":179.399239,""speaker"":""B""},{""type"":""filler"",""endTime"":185.209698},{""text"":""もしもし、 お茶は土曜日の朝10時からです。"",""type"":""content"",""endTime"":189.659284,""speaker"":""B""},{""type"":""filler"",""endTime"":193.945803},{""text"":""a． そうですか。残念ですね。"",""type"":""content"",""endTime"":198.703229},{""text"":""b． そうですか。じゃ、 私も習いに行きます。"",""type"":""content"",""endTime"":204.587326},{""type"":""filler"",""endTime"":9999}]",8736082-25-1.m4a,4,2023-11-24 08:14:13.075271+00,2023-11-24 08:14:13.075271+00,251
